2015-10-14 23:43:59,819 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@b47a87e: startup date [Wed Oct 14 23:43:59 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-10-14 23:44:02,870 | INFO  | PListStore:[/opt/apache-activemq-5.12/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-10-14 23:44:02,966 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/apache-activemq-5.12/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-10-14 23:44:03,288 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53005-1444851843137-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-10-14 23:44:03,330 | INFO  | Listening for connections at: tcp://linux-icqi:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-14 23:44:03,339 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-10-14 23:44:03,349 | INFO  | Listening for connections at: amqp://linux-icqi:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-14 23:44:03,355 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-10-14 23:44:03,370 | INFO  | Listening for connections at: stomp://linux-icqi:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-14 23:44:03,377 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-10-14 23:44:03,391 | INFO  | Listening for connections at: mqtt://linux-icqi:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-14 23:44:03,396 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-10-14 23:44:03,634 | INFO  | Listening for connections at ws://linux-icqi:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-10-14 23:44:03,635 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-10-14 23:44:03,640 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53005-1444851843137-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-10-14 23:44:03,650 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-10-14 23:44:03,664 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /opt/apache-activemq-5.12/data/kahadb only has 3121 mb of usable space - resetting to maximum available disk space: 3121 mb | org.apache.activemq.broker.BrokerService | main
2015-10-14 23:44:03,679 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: /opt/apache-activemq-5.12/data/localhost/tmp_storage only has 3121 mb of usable space - resetting to maximum available 3121 mb. | org.apache.activemq.broker.BrokerService | main
2015-10-14 23:44:04,561 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-14 23:44:04,562 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-14 23:44:04,629 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-10-14 23:44:05,344 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-10-14 23:48:31,380 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1109984189-39
2015-10-14 23:51:33,721 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53005-1444851843137-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-25
2015-10-14 23:51:33,735 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-10-14 23:51:33,744 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-10-14 23:51:33,746 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-10-14 23:51:33,750 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-10-14 23:51:33,821 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-10-14 23:51:33,829 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-10-14 23:51:33,834 | INFO  | PListStore:[/opt/apache-activemq-5.12/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-25
2015-10-14 23:51:33,835 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-25
2015-10-14 23:51:33,836 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-25
2015-10-14 23:51:33,837 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-25
2015-10-14 23:51:34,055 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53005-1444851843137-0:1) uptime 7 minutes | org.apache.activemq.broker.BrokerService | Thread-25
2015-10-14 23:51:34,056 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53005-1444851843137-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-25
2015-10-14 23:51:34,057 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@b47a87e: startup date [Wed Oct 14 23:43:59 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-25
2015-10-14 23:51:34,077 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-25
2015-10-15 17:41:28,227 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@b47a87e: startup date [Thu Oct 15 17:41:28 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-10-15 17:41:30,704 | INFO  | PListStore:[/opt/apache-activemq-5.12/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-10-15 17:41:30,776 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/apache-activemq-5.12/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-10-15 17:41:31,145 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 17:41:31,222 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 17:41:31,229 | INFO  | Recovery replayed 90 operations from the journal in 0.035 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 17:41:31,409 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-34395-1444916491262-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-10-15 17:41:31,510 | INFO  | Listening for connections at: tcp://linux-icqi:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 17:41:31,515 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 17:41:31,525 | INFO  | Listening for connections at: amqp://linux-icqi:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 17:41:31,530 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 17:41:31,538 | INFO  | Listening for connections at: stomp://linux-icqi:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 17:41:31,553 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 17:41:31,565 | INFO  | Listening for connections at: mqtt://linux-icqi:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 17:41:31,570 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 17:41:31,781 | INFO  | Listening for connections at ws://linux-icqi:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-10-15 17:41:31,782 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 17:41:31,804 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-34395-1444916491262-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-10-15 17:41:31,814 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-10-15 17:41:31,822 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /opt/apache-activemq-5.12/data/kahadb only has 3003 mb of usable space - resetting to maximum available disk space: 3003 mb | org.apache.activemq.broker.BrokerService | main
2015-10-15 17:41:31,826 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: /opt/apache-activemq-5.12/data/localhost/tmp_storage only has 3003 mb of usable space - resetting to maximum available 3003 mb. | org.apache.activemq.broker.BrokerService | main
2015-10-15 17:41:32,575 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-15 17:41:32,576 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-15 17:41:32,682 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-10-15 17:41:33,330 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-10-15 17:43:14,695 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp696102314-54
2015-10-15 18:04:59,031 | WARN  | Transport Connection to: tcp://127.0.0.1:49909 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49909@61616
